meals_served,kitchen_staff,temperature_C,humidity_percent,day_of_week,special_event,past_waste_kg,staff_experience,waste_category,food_waste_kg
196,13,27.88727267748186,45.36285390629726,0,0,7.740586989477199,Intermediate,dairy,28.946465336432905
244,15,10.317872249672336,64.4304752462708,1,0,42.31177881278629,Intermediate,meat,51.54905281454645
148,16,27.714300115065733,69.04611285352485,1,0,41.18430513351168,Beginner,meat,53.008322732556536
157,19,19.17390198012001,46.29282284467455,6,0,41.54349249539056,Beginner,meat,48.62152711280995
297,10,26.375233470802712,79.74106395272946,0,0,26.52509667517501,Intermediate,meat,44.15698435866615
241,18,16.863506350003135,79.2859194985556,3,0,11.834877755148362,Intermediate,dairy,27.393670187103623
443,16,19.888627096999212,77.32813583432157,0,0,22.862658782043177,Beginner,vegetables,52.17211773229588
416,16,18.559590900838664,75.7865018160785,5,1,34.59944224726701,Intermediate,meat,72.05240748747588
439,18,24.111027266972066,43.395803130311776,4,0,17.45914862714055,EXPERT,dairy,44.28415666965992
267,7,25.412493172377086,89.40518256404891,1,0,23.067392475419435,EXPERT,grains,33.23393011057515
487,15,20.96518041223846,53.39234117649265,2,0,41.075793193608725,EXPERT,meat,61.213325501284864
418,13,19.563157006100205,82.53067359315696,4,0,25.043428449760405,Intermediate,vegetables,44.93716309238571
376,19,5.844802989769095,54.49838056556707,1,0,36.25941977645789,EXPERT,meat,50.568698570351984
372,5,30.2220865409082,63.652467801757055,6,0,49.63501381763712,Intermediate,grains,60.79622004025845
378,12,12.323228609484747,68.06038438267225,5,0,41.14602070991628,Intermediate,meat,51.05801765836502
265,12,15.685237396534474,63.32972544635161,0,0,26.92454031148613,Beginner,meat,38.21570049420284
1560,8,23.740401092973112,48.59999623030736,4,0,11.255099233958497,EXPERT,dairy,127.43515972323362
283,8,18.91830132600004,36.075594876909534,4,1,7.659761939404453,Beginner,dairy,31.32297930911143
138,17,31.11973590715053,67.67960295624589,5,0,21.02418883248897,Intermediate,vegetables,29.53986030174638
253,17,12.768711132973952,42.3730443050484,0,0,6.584682808648558,Intermediate,dairy,18.665798273669395
152,8,32.734754800209906,48.53006544044045,0,0,27.156303658383163,EXPERT,grains,31.264418840589677
1110,11,15.52006574464098,58.40405288969475,1,0,38.87818951469928,Beginner,vegetables,201.3272265452355
439,18,13.283378160234452,56.99053247835356,1,0,22.96250575299588,Intermediate,dairy,50.47941710867909
353,11,10.437899771551557,70.64323929112301,1,1,17.26927912906181,EXPERT,meat,45.97954253624569
489,8,18.018568510953187,73.81476882540875,5,0,36.51943096204268,EXPERT,meat,60.20071926103519
464,11,12.722958546168286,58.58900302669756,6,0,23.69813283779297,Intermediate,vegetables,45.68508645035617
430,18,20.39768415367352,74.99104586618797,0,0,13.973521899134075,EXPERT,grains,40.633073102672135
354,15,24.8694159344234,56.31230931224613,6,0,28.564853722457485,Intermediate,meat,43.078879896854815
153,15,12.80760861028048,48.3682404527756,3,0,18.20906566063972,EXPERT,meat,27.04674865610133
338,8,12.941225711838966,68.06544871719501,6,0,43.68558132861498,Intermediate,grains,52.31782235802555
358,18,11.24605069457354,62.444074027986254,5,0,43.56339866493075,EXPERT,grains,46.6214473399448
114,8,24.75659847214056,38.25142648902092,1,0,25.34389685651147,Intermediate,meat,23.016291573913
100,15,28.906616447286314,30.605436401341485,5,0,15.80987449437735,Beginner,meat,20.364564228929552
259,5,19.66152102897868,74.34159346727752,3,0,11.18127856859034,Intermediate,grains,35.73457609874185
174,15,17.95278884045299,73.84908172270852,3,0,49.733674459050896,Intermediate,vegetables,43.2027326256482
470,9,26.29169796766065,84.91543109506938,4,0,29.180322357943155,Intermediate,dairy,57.92568114492289
262,13,19.39180629704316,58.00692463387128,4,0,34.51564908942798,Intermediate,dairy,44.54682168878266
218,8,22.40415960283049,31.851474258484348,6,0,34.776673046660605,Beginner,dairy,31.827616080564624
272,11,16.947552431221695,32.8584754461904,0,0,30.91036382484852,Intermediate,meat,39.50264031483726
492,9,11.093390646999238,59.680511375477,3,0,14.92289542114916,Intermediate,grains,45.20600927495253
280,18,20.607422147122204,76.88093043686438,0,1,14.55285387508661,Beginner,grains,53.59927450876711
317,16,24.068757158584567,50.42435060097388,4,0,46.58484721600757,Beginner,dairy,55.91331449992199
382,12,24.70145945225198,36.94425640072232,1,0,5.655521963807551,Intermediate,vegetables,27.94548858041052
289,7,29.91994569660069,69.52950420840423,0,0,29.771229969632323,Intermediate,meat,40.265658444205016
361,11,19.0736067961498,63.89906146051521,1,0,29.566558998905,Intermediate,meat,38.66680034019299
266,9,14.396132910443152,72.46129957983712,4,0,39.71804278993194,Intermediate,meat,39.66096850558484
487,6,24.0045564593728,56.94508470065681,6,0,25.590889951269432,Intermediate,grains,44.274849697036814
206,11,15.74021461719661,74.28414740031103,1,0,22.28191872759952,Beginner,meat,32.44114132276269
439,8,28.810694065389317,72.65308300093915,6,1,30.73051921711912,EXPERT,meat,63.61488965710212
119,19,30.999099507054563,65.4258653893616,6,0,41.554678111117774,Intermediate,dairy,39.23947342293806
351,17,17.717468584329882,66.0661617374597,3,0,7.578963950471906,Intermediate,dairy,25.96082788900909
441,5,19.019312977765,70.90491864540968,4,0,41.723556905450806,Intermediate,meat,62.71189112279262
385,15,33.57077853533154,57.5158766108304,5,0,8.08918997665425,Intermediate,meat,31.256635833099743
373,10,21.713485419214607,88.36657937352516,5,0,34.33553895031073,Intermediate,dairy,53.95318054042495
236,5,34.80333290851681,89.475793604018,1,0,5.945949802679772,EXPERT,vegetables,21.233009332422423
326,6,19.28521419125352,33.637735563988095,1,0,29.073500303424986,Intermediate,grains,40.21228889086149
352,15,34.49456144636305,49.9820923083239,1,0,14.91435943798854,EXPERT,meat,37.260332562313856
407,14,23.62763820651749,62.86708166299917,5,1,13.270309929855552,Intermediate,grains,50.64036427126848
188,19,22.74310616879245,54.94785004124701,5,0,35.44900856689314,Intermediate,vegetables,42.65394571098668
